participant,metric,metric_label,comparison,baseline_k,higher_k,baseline_hit_at_k,higher_hit_at_k,gap
P7,combined,Category + Target,1_to_10,1,10,0.0,0.09090909090909091,0.09090909090909091
P7,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.0,0.045454545454545456,0.045454545454545456
P7,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.0,0.18181818181818182,0.18181818181818182
P8,category,Category,1_to_3,1,3,0.6,0.9,0.30000000000000004
P8,category,Category,1_to_10,1,10,0.6,1.0,0.4
P8,target,Target,1_to_3,1,3,0.0,0.1,0.1
P8,target,Target,1_to_10,1,10,0.0,0.1,0.1
P8,combined,Category + Target,1_to_3,1,3,0.0,0.1,0.1
P8,combined,Category + Target,1_to_10,1,10,0.0,0.1,0.1
P8,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.0,0.1,0.1
P8,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.0,0.1,0.1
P9,category,Category,1_to_3,1,3,0.5714285714285714,0.8095238095238095,0.23809523809523814
P9,category,Category,1_to_10,1,10,0.5714285714285714,0.9523809523809523,0.38095238095238093
P9,target,Target,1_to_3,1,3,0.09523809523809523,0.09523809523809523,0.0
P9,target,Target,1_to_10,1,10,0.09523809523809523,0.09523809523809523,0.0
P9,combined,Category + Target,1_to_3,1,3,0.09523809523809523,0.09523809523809523,0.0
P9,combined,Category + Target,1_to_10,1,10,0.09523809523809523,0.09523809523809523,0.0
P9,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.19047619047619047,0.19047619047619047,0.0
P9,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.19047619047619047,0.2857142857142857,0.09523809523809523
P10,category,Category,1_to_3,1,3,0.6136363636363636,0.8181818181818182,0.20454545454545459
P10,category,Category,1_to_10,1,10,0.6136363636363636,0.9545454545454546,0.34090909090909094
P10,target,Target,1_to_3,1,3,0.045454545454545456,0.06818181818181818,0.02272727272727272
P10,target,Target,1_to_10,1,10,0.045454545454545456,0.1590909090909091,0.11363636363636363
P10,combined,Category + Target,1_to_3,1,3,0.045454545454545456,0.045454545454545456,0.0
P10,combined,Category + Target,1_to_10,1,10,0.045454545454545456,0.11363636363636363,0.06818181818181818
P10,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.045454545454545456,0.09090909090909091,0.045454545454545456
P10,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.045454545454545456,0.22727272727272727,0.18181818181818182
P11,category,Category,1_to_3,1,3,0.47058823529411764,0.8823529411764706,0.4117647058823529
P11,category,Category,1_to_10,1,10,0.47058823529411764,0.9705882352941176,0.5
P11,target,Target,1_to_3,1,3,0.058823529411764705,0.058823529411764705,0.0
P11,target,Target,1_to_10,1,10,0.058823529411764705,0.11764705882352941,0.058823529411764705
P11,combined,Category + Target,1_to_3,1,3,0.058823529411764705,0.058823529411764705,0.0
P11,combined,Category + Target,1_to_10,1,10,0.058823529411764705,0.11764705882352941,0.058823529411764705
P11,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.11764705882352941,0.14705882352941177,0.02941176470588236
P11,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.11764705882352941,0.20588235294117646,0.08823529411764705
